"","eeacellcode","pd_loss"
"1","5kmE3795N3130",1418.884704
"2","5kmE3795N3135",1091.5895045
"3","5kmE3800N3100",72.9477149999984
"4","5kmE3800N3105",81.4348215000027
"5","5kmE3800N3110",81.4348215000027
"6","5kmE3800N3115",329.749007000002
"7","5kmE3800N3120",221.077235999997
"8","5kmE3800N3125",873.410837000003
"9","5kmE3800N3130",1589.5832345
"10","5kmE3800N3135",1635.415311
"11","5kmE3805N3095",392.620905
"12","5kmE3805N3100",300.534718000003
"13","5kmE3805N3105",318.959466
"14","5kmE3805N3110",182.4815495
"15","5kmE3805N3115",110.154681
"16","5kmE3805N3120",197.516141
"17","5kmE3805N3125",240.734021499997
"18","5kmE3805N3130",1296.3702795
"19","5kmE3805N3135",1763.1823595
"20","5kmE3805N3140",1017.1384745
"21","5kmE3810N3090",394.537342
"22","5kmE3810N3095",501.090366
"23","5kmE3810N3100",368.041231499999
"24","5kmE3810N3105",310.501685499999
"25","5kmE3810N3110",59.8085839999985
"26","5kmE3810N3115",304.3701655
"27","5kmE3810N3120",562.1863515
"28","5kmE3810N3125",420.837662500002
"29","5kmE3810N3130",504.347975000001
"30","5kmE3810N3135",1988.586264
"31","5kmE3810N3140",1367.993358
"32","5kmE3815N3090",185.282976000002
"33","5kmE3815N3095",310.494185
"34","5kmE3815N3100",300.895910499999
"35","5kmE3815N3105",81.4348214999991
"36","5kmE3815N3110",0
"37","5kmE3815N3115",321.652504000001
"38","5kmE3815N3120",896.156966500002
"39","5kmE3815N3125",346.586576499998
"40","5kmE3815N3130",557.004680500002
"41","5kmE3815N3135",1302.241308
"42","5kmE3815N3140",1412.545554
"43","5kmE3815N3145",579.973219
"44","5kmE3820N3095",383.532025999997
"45","5kmE3820N3100",649.142445499998
"46","5kmE3820N3105",746.5480455
"47","5kmE3820N3110",30.4144789999991
"48","5kmE3820N3115",157.025068999999
"49","5kmE3820N3120",629.669417999998
"50","5kmE3820N3125",513.074589
"51","5kmE3820N3130",567.51355
"52","5kmE3820N3135",235.745269499999
"53","5kmE3820N3140",515.987639999999
"54","5kmE3820N3145",935.754732500001
"55","5kmE3825N3095",217.941922999998
"56","5kmE3825N3100",523.7426295
"57","5kmE3825N3105",520.9139645
"58","5kmE3825N3110",188.298242500001
"59","5kmE3825N3115",635.198690500001
"60","5kmE3825N3120",689.457555000001
"61","5kmE3825N3125",291.0867335
"62","5kmE3825N3130",147.767435999998
"63","5kmE3825N3135",370.239668499999
"64","5kmE3825N3140",512.119221500001
"65","5kmE3825N3145",1124.73645
"66","5kmE3825N3150",424.943047500001
"67","5kmE3830N3095",30.4144789999991
"68","5kmE3830N3100",285.878829000001
"69","5kmE3830N3105",30.4144789999991
"70","5kmE3830N3110",50.7782240000015
"71","5kmE3830N3115",622.827280000001
"72","5kmE3830N3120",258.745309000002
"73","5kmE3830N3125",149.655413999997
"74","5kmE3830N3130",386.951424000003
"75","5kmE3830N3135",372.6060215
"76","5kmE3830N3140",365.054071000002
"77","5kmE3830N3145",1270.7026205
"78","5kmE3830N3150",1013.8073245
"79","5kmE3835N3090",431.152481000001
"80","5kmE3835N3095",122.595326499999
"81","5kmE3835N3100",291.567056
"82","5kmE3835N3105",163.704664499997
"83","5kmE3835N3110",570.774767999999
"84","5kmE3835N3115",725.000757500002
"85","5kmE3835N3120",425.326212
"86","5kmE3835N3125",277.546332000002
"87","5kmE3835N3130",509.916293500002
"88","5kmE3835N3135",758.970422499999
"89","5kmE3835N3140",727.611594999998
"90","5kmE3835N3145",658.93507
"91","5kmE3835N3150",1352.8999245
"92","5kmE3835N3155",479.738585999999
"93","5kmE3840N3090",370.250153000001
"94","5kmE3840N3095",627.446436000002
"95","5kmE3840N3100",230.183902000001
"96","5kmE3840N3105",122.717500499999
"97","5kmE3840N3110",313.782279500003
"98","5kmE3840N3115",762.150473999998
"99","5kmE3840N3120",552.089125000002
"100","5kmE3840N3125",397.619098499999
"101","5kmE3840N3130",519.013927
"102","5kmE3840N3135",938.675009000002
"103","5kmE3840N3140",419.187947999999
"104","5kmE3840N3145",231.5600705
"105","5kmE3840N3150",334.5840135
"106","5kmE3840N3155",658.0878705
"107","5kmE3845N3090",178.663369499998
"108","5kmE3845N3095",436.597266499997
"109","5kmE3845N3100",796.840871
"110","5kmE3845N3105",338.800079000001
"111","5kmE3845N3110",254.571283500001
"112","5kmE3845N3115",262.146626000002
"113","5kmE3845N3120",12.3415525000019
"114","5kmE3845N3125",146.092844499999
"115","5kmE3845N3130",856.722287000001
"116","5kmE3845N3135",1138.0416175
"117","5kmE3845N3140",1219.5017935
"118","5kmE3845N3145",1112.566905
"119","5kmE3845N3150",1120.502894
"120","5kmE3845N3155",1304.329632
"121","5kmE3845N3160",464.736940499999
"122","5kmE3850N3085",121.214691000001
"123","5kmE3850N3090",396.930970999998
"124","5kmE3850N3095",631.129046500002
"125","5kmE3850N3100",794.480694999998
"126","5kmE3850N3105",559.3938275
"127","5kmE3850N3110",0
"128","5kmE3850N3115",34.5698470000025
"129","5kmE3850N3120",0
"130","5kmE3850N3125",1096.242211
"131","5kmE3850N3130",926.075926000001
"132","5kmE3850N3135",1110.3594615
"133","5kmE3850N3140",974.5663365
"134","5kmE3850N3145",1119.805396
"135","5kmE3850N3150",756.864808999999
"136","5kmE3850N3155",1482.4709855
"137","5kmE3850N3160",1089.1343225
"138","5kmE3855N3085",277.378675499998
"139","5kmE3855N3090",477.229933499999
"140","5kmE3855N3095",856.7823665
"141","5kmE3855N3100",236.127097999997
"142","5kmE3855N3105",319.448248500001
"143","5kmE3855N3110",219.450983499999
"144","5kmE3855N3115",82.9730679999993
"145","5kmE3855N3120",27.1536694999995
"146","5kmE3855N3125",907.558438
"147","5kmE3855N3130",803.415161000001
"148","5kmE3855N3135",315.428198000001
"149","5kmE3855N3140",278.146431000001
"150","5kmE3855N3145",951.491281499999
"151","5kmE3855N3150",1185.875927
"152","5kmE3855N3155",1535.926483
"153","5kmE3855N3160",1407.9791155
