"","eeacellcode","pd_loss"
"1","1kmE3799N3134",1390.4683755
"2","1kmE3799N3135",1106.8053505
"3","1kmE3800N3108",0
"4","1kmE3800N3115",0
"5","1kmE3800N3116",0
"6","1kmE3800N3125",0
"7","1kmE3800N3126",0
"8","1kmE3800N3127",0
"9","1kmE3800N3128",0
"10","1kmE3800N3129",0
"11","1kmE3800N3130",160.2408095
"12","1kmE3800N3131",338.886495000001
"13","1kmE3800N3132",599.636771000001
"14","1kmE3800N3133",1127.245445
"15","1kmE3800N3134",1437.819795
"16","1kmE3800N3135",1225.8423045
"17","1kmE3800N3136",1076.930133
"18","1kmE3801N3106",0
"19","1kmE3801N3107",0
"20","1kmE3801N3108",0
"21","1kmE3801N3109",36.3152710000004
"22","1kmE3801N3110",53.522669
"23","1kmE3801N3111",0
"24","1kmE3801N3112",0
"25","1kmE3801N3113",0
"26","1kmE3801N3114",0
"27","1kmE3801N3115",47.4670315000003
"28","1kmE3801N3116",0
"29","1kmE3801N3117",12.3415525
"30","1kmE3801N3124",0
"31","1kmE3801N3125",0
"32","1kmE3801N3126",0
"33","1kmE3801N3127",0
"34","1kmE3801N3128",65.5211245
"35","1kmE3801N3129",174.105378499999
"36","1kmE3801N3130",0
"37","1kmE3801N3131",437.779019
"38","1kmE3801N3132",788.985050500003
"39","1kmE3801N3133",1076.3347135
"40","1kmE3801N3134",1369.975457
"41","1kmE3801N3135",1531.2047275
"42","1kmE3801N3136",1223.3105085
"43","1kmE3802N3104",47.4670315000003
"44","1kmE3802N3105",0
"45","1kmE3802N3106",53.522669
"46","1kmE3802N3107",0
"47","1kmE3802N3108",0
"48","1kmE3802N3109",53.522669
"49","1kmE3802N3110",33.9677899999997
"50","1kmE3802N3111",0
"51","1kmE3802N3112",0
"52","1kmE3802N3113",0
"53","1kmE3802N3114",0
"54","1kmE3802N3115",0
"55","1kmE3802N3116",0
"56","1kmE3802N3117",0
"57","1kmE3802N3122",0
"58","1kmE3802N3123",0
"59","1kmE3802N3124",0
"60","1kmE3802N3125",0
"61","1kmE3802N3126",0
"62","1kmE3802N3127",217.087435
"63","1kmE3802N3128",0
"64","1kmE3802N3129",0
"65","1kmE3802N3130",176.8498235
"66","1kmE3802N3131",691.473539500001
"67","1kmE3802N3132",858.807495500001
"68","1kmE3802N3133",940.758886000003
"69","1kmE3802N3134",899.404614499999
"70","1kmE3802N3135",1219.3417115
"71","1kmE3802N3136",895.7687305
"72","1kmE3802N3137",645.683654
"73","1kmE3803N3103",0
"74","1kmE3803N3104",0
"75","1kmE3803N3105",0
"76","1kmE3803N3106",0
"77","1kmE3803N3107",0
"78","1kmE3803N3108",177.490095
"79","1kmE3803N3109",65.5211244999998
"80","1kmE3803N3110",0
"81","1kmE3803N3111",0
"82","1kmE3803N3112",0
"83","1kmE3803N3113",0
"84","1kmE3803N3114",0
"85","1kmE3803N3115",0
"86","1kmE3803N3116",0
"87","1kmE3803N3117",0
"88","1kmE3803N3118",0
"89","1kmE3803N3119",0
"90","1kmE3803N3120",0
"91","1kmE3803N3121",0
"92","1kmE3803N3122",0
"93","1kmE3803N3123",0
"94","1kmE3803N3124",36.3152710000013
"95","1kmE3803N3125",22.4307590000008
"96","1kmE3803N3126",0
"97","1kmE3803N3127",0
"98","1kmE3803N3128",166.309211
"99","1kmE3803N3129",0
"100","1kmE3803N3130",53.522669
"101","1kmE3803N3131",299.956665
"102","1kmE3803N3132",624.813803499999
"103","1kmE3803N3133",436.979485
"104","1kmE3803N3134",655.699845499999
"105","1kmE3803N3135",1027.4836305
"106","1kmE3803N3136",1078.8769485
"107","1kmE3803N3137",660.1792335
"108","1kmE3804N3103",0
"109","1kmE3804N3104",53.522669
"110","1kmE3804N3105",47.4670315000003
"111","1kmE3804N3106",0
"112","1kmE3804N3107",0
"113","1kmE3804N3108",47.4670315000003
"114","1kmE3804N3109",47.4670315000003
"115","1kmE3804N3110",0
"116","1kmE3804N3111",0
"117","1kmE3804N3112",0
"118","1kmE3804N3113",0
"119","1kmE3804N3114",0
"120","1kmE3804N3115",0
"121","1kmE3804N3116",0
"122","1kmE3804N3117",0
"123","1kmE3804N3118",0
"124","1kmE3804N3119",0
"125","1kmE3804N3120",0
"126","1kmE3804N3121",0
"127","1kmE3804N3122",0
"128","1kmE3804N3123",0
"129","1kmE3804N3124",0
"130","1kmE3804N3125",0
"131","1kmE3804N3126",0
"132","1kmE3804N3127",0
"133","1kmE3804N3128",174.4569795
"134","1kmE3804N3129",0
"135","1kmE3804N3130",0
"136","1kmE3804N3131",0
"137","1kmE3804N3132",41.2512810000007
"138","1kmE3804N3133",218.533731
"139","1kmE3804N3134",436.182702499998
"140","1kmE3804N3135",954.4446255
"141","1kmE3804N3136",864.489440999998
"142","1kmE3804N3137",586.183971500001
"143","1kmE3804N3138",174.4569795
"144","1kmE3805N3103",0
"145","1kmE3805N3104",47.4670315000003
"146","1kmE3805N3105",47.4670315000003
"147","1kmE3805N3106",0
"148","1kmE3805N3107",0
"149","1kmE3805N3108",47.4670315000003
"150","1kmE3805N3109",47.4670315000003
"151","1kmE3805N3110",0
"152","1kmE3805N3111",0
"153","1kmE3805N3112",0
"154","1kmE3805N3113",53.522669
"155","1kmE3805N3114",0
"156","1kmE3805N3115",0
"157","1kmE3805N3116",0
"158","1kmE3805N3117",0
"159","1kmE3805N3118",0
"160","1kmE3805N3119",0
"161","1kmE3805N3120",0
"162","1kmE3805N3121",0
"163","1kmE3805N3122",53.522669
"164","1kmE3805N3123",0
"165","1kmE3805N3124",0
"166","1kmE3805N3125",0
"167","1kmE3805N3126",0
"168","1kmE3805N3127",0
"169","1kmE3805N3128",0
"170","1kmE3805N3129",0
"171","1kmE3805N3130",0
"172","1kmE3805N3131",0
"173","1kmE3805N3132",0
"174","1kmE3805N3133",0
"175","1kmE3805N3134",1084.988822
"176","1kmE3805N3135",1274.590296
"177","1kmE3805N3136",1045.1852215
"178","1kmE3805N3137",880.086452
"179","1kmE3805N3138",41.2512809999998
"180","1kmE3806N3103",0
"181","1kmE3806N3104",0
"182","1kmE3806N3105",0
"183","1kmE3806N3106",0
"184","1kmE3806N3107",0
"185","1kmE3806N3108",0
"186","1kmE3806N3109",0
"187","1kmE3806N3110",0
"188","1kmE3806N3111",47.4670315000003
"189","1kmE3806N3112",65.5211245
"190","1kmE3806N3113",47.4670315000003
"191","1kmE3806N3114",53.522669
"192","1kmE3806N3115",315.985533
"193","1kmE3806N3116",0
"194","1kmE3806N3117",0
"195","1kmE3806N3118",0
"196","1kmE3806N3119",0
"197","1kmE3806N3120",0
"198","1kmE3806N3121",0
"199","1kmE3806N3122",29.8889705000001
"200","1kmE3806N3123",62.6876495000015
"201","1kmE3806N3124",0
"202","1kmE3806N3125",0
"203","1kmE3806N3126",0
"204","1kmE3806N3127",0
