"","eeacellcode","pd"
"144","5kmE3855N3115",20309.2906655
"145","5kmE3855N3120",19239.7528245
"146","5kmE3855N3125",25630.46034
"147","5kmE3855N3130",26201.0752025
"148","5kmE3855N3135",24203.627447
"149","5kmE3855N3140",25249.384862
"150","5kmE3855N3145",25491.1468025
"151","5kmE3855N3150",25522.8218645
"152","5kmE3855N3155",28980.5191475
"153","5kmE3855N3160",25244.516094
"154","5kmE3860N3090",26439.745193
"155","5kmE3860N3095",25064.5672865
"156","5kmE3860N3100",23968.7093885
"157","5kmE3860N3105",25131.5493515
"158","5kmE3860N3110",24014.066977
"159","5kmE3860N3115",23859.8896005
"160","5kmE3860N3120",21674.963822
"161","5kmE3860N3125",25205.454487
"162","5kmE3860N3130",24969.0025645
"163","5kmE3860N3135",24250.265664
"164","5kmE3860N3140",25037.9000245
"165","5kmE3860N3145",24948.759795
"166","5kmE3860N3150",24655.642698
"167","5kmE3860N3155",26129.0359525
"168","5kmE3860N3160",23211.314443
"169","5kmE3865N3085",22181.3159685
"170","5kmE3865N3090",25039.1229085
"171","5kmE3865N3095",26781.977489
"172","5kmE3865N3100",24783.080484
"173","5kmE3865N3105",22914.7524865
"174","5kmE3865N3110",24859.7876625
"175","5kmE3865N3115",27409.1066135
"176","5kmE3865N3120",23943.079224
"177","5kmE3865N3125",25776.0141605
"178","5kmE3865N3130",25234.1449125
"179","5kmE3865N3135",24799.6183085
"180","5kmE3865N3140",24684.106051
"181","5kmE3865N3145",23215.70644
"182","5kmE3865N3150",23906.7376915
"183","5kmE3870N3085",24543.5183565
"184","5kmE3870N3090",25661.3460575
"185","5kmE3870N3095",25766.472141
"186","5kmE3870N3100",27740.015366
"187","5kmE3870N3105",24360.2806015
"188","5kmE3870N3110",26042.213972
"189","5kmE3870N3115",27117.5434045
"190","5kmE3870N3120",26461.4886825
"191","5kmE3870N3125",26026.0765615
"192","5kmE3870N3130",23897.4021995
"193","5kmE3870N3135",24987.183256
"194","5kmE3870N3140",22476.2496105
"195","5kmE3870N3145",24303.652971
"196","5kmE3870N3150",22181.5747245
"197","5kmE3875N3090",24379.4289785
"198","5kmE3875N3095",24269.3167535
"199","5kmE3875N3100",25901.053291
"200","5kmE3875N3105",27031.5161065
"201","5kmE3875N3110",27316.7436295
"202","5kmE3875N3115",27874.596249
"203","5kmE3875N3120",30655.8252785
"204","5kmE3875N3125",29240.0617005
"205","5kmE3875N3130",22377.9051725
"206","5kmE3875N3135",24010.867908
"207","5kmE3875N3140",20852.8011385
"208","5kmE3875N3145",23833.6118
"209","5kmE3875N3150",24195.847567
"210","5kmE3880N3085",16972.8637065
"211","5kmE3880N3090",24445.667316
"212","5kmE3880N3095",24486.009035
"213","5kmE3880N3100",24046.000861
"214","5kmE3880N3105",24299.845759
"215","5kmE3880N3110",27138.370849
"216","5kmE3880N3115",29365.878473
"217","5kmE3880N3120",31622.506551
"218","5kmE3880N3125",29470.510388
"219","5kmE3880N3130",24670.615716
"220","5kmE3880N3135",24340.789109
"221","5kmE3880N3140",23803.64362
"222","5kmE3880N3145",26343.0746245
"223","5kmE3885N3080",14522.987295
"224","5kmE3885N3085",22831.8170535
"225","5kmE3885N3090",24400.0903565
"226","5kmE3885N3095",24313.526299
"227","5kmE3885N3100",24960.8097485
"228","5kmE3885N3105",23039.093297
"229","5kmE3885N3110",24838.3976545
"230","5kmE3885N3115",27782.8367505
"231","5kmE3885N3120",29546.662298
"232","5kmE3885N3125",26189.354106
"233","5kmE3885N3130",26054.9769955
"234","5kmE3885N3135",26272.369816
"235","5kmE3885N3140",25795.06159
"236","5kmE3885N3145",27477.568106
"237","5kmE3890N3080",18528.3159935
"238","5kmE3890N3085",23607.2678655
"239","5kmE3890N3090",25516.246123
"240","5kmE3890N3095",23183.0920125
"241","5kmE3890N3100",22133.7491395
"242","5kmE3890N3105",21825.518688
"243","5kmE3890N3110",25318.082812
"244","5kmE3890N3115",27535.273226
"245","5kmE3890N3120",23350.774823
"246","5kmE3890N3125",21652.643351
"247","5kmE3890N3130",25882.0118085
"248","5kmE3890N3135",27941.733907
"249","5kmE3890N3140",25432.580517
"250","5kmE3895N3080",20313.0716495
"251","5kmE3895N3085",21737.9249995
"252","5kmE3895N3090",23240.68134
"253","5kmE3895N3095",23912.7652505
"254","5kmE3895N3100",22935.5964535
"255","5kmE3895N3105",24451.968515
"256","5kmE3895N3110",28020.6919925
"257","5kmE3895N3115",27654.057745
"258","5kmE3895N3120",25046.1696045
"259","5kmE3895N3125",24709.7762285
"260","5kmE3895N3130",27421.4645945
"261","5kmE3895N3135",27498.8267005
"262","5kmE3895N3140",26425.305922
"263","5kmE3900N3080",19805.7048765
"264","5kmE3900N3085",20682.861275
"265","5kmE3900N3090",23198.5023645
"266","5kmE3900N3095",25316.9483815
"267","5kmE3900N3100",26775.144977
"268","5kmE3900N3105",28288.197818
"269","5kmE3900N3110",26524.770567
"270","5kmE3900N3115",26223.518682
"271","5kmE3900N3120",24606.931099
"272","5kmE3900N3125",27052.722535
"273","5kmE3900N3130",27100.231686
"274","5kmE3900N3135",28027.7361215
"275","5kmE3900N3140",27546.3578685
"276","5kmE3905N3080",17004.9721505
"277","5kmE3905N3085",20882.90538
