"","eeacellcode","sp_richness"
"213","5kmE3880N3100",380
"214","5kmE3880N3105",382
"215","5kmE3880N3110",437
"216","5kmE3880N3115",498
"217","5kmE3880N3120",547
"218","5kmE3880N3125",523
"219","5kmE3880N3130",393
"220","5kmE3880N3135",373
"221","5kmE3880N3140",372
"222","5kmE3880N3145",433
"223","5kmE3885N3080",184
"224","5kmE3885N3085",349
"225","5kmE3885N3090",378
"226","5kmE3885N3095",377
"227","5kmE3885N3100",393
"228","5kmE3885N3105",371
"229","5kmE3885N3110",396
"230","5kmE3885N3115",451
"231","5kmE3885N3120",505
"232","5kmE3885N3125",439
"233","5kmE3885N3130",430
"234","5kmE3885N3135",427
"235","5kmE3885N3140",415
"236","5kmE3885N3145",446
"237","5kmE3890N3080",255
"238","5kmE3890N3085",367
"239","5kmE3890N3090",411
"240","5kmE3890N3095",355
"241","5kmE3890N3100",336
"242","5kmE3890N3105",327
"243","5kmE3890N3110",409
"244","5kmE3890N3115",449
"245","5kmE3890N3120",362
"246","5kmE3890N3125",314
"247","5kmE3890N3130",408
"248","5kmE3890N3135",460
"249","5kmE3890N3140",408
"250","5kmE3895N3080",288
"251","5kmE3895N3085",320
"252","5kmE3895N3090",358
"253","5kmE3895N3095",369
"254","5kmE3895N3100",350
"255","5kmE3895N3105",387
"256","5kmE3895N3110",457
"257","5kmE3895N3115",467
"258","5kmE3895N3120",402
"259","5kmE3895N3125",380
"260","5kmE3895N3130",448
"261","5kmE3895N3135",456
"262","5kmE3895N3140",425
"263","5kmE3900N3080",281
"264","5kmE3900N3085",295
"265","5kmE3900N3090",355
"266","5kmE3900N3095",400
"267","5kmE3900N3100",423
"268","5kmE3900N3105",458
"269","5kmE3900N3110",432
"270","5kmE3900N3115",421
"271","5kmE3900N3120",390
"272","5kmE3900N3125",446
"273","5kmE3900N3130",441
"274","5kmE3900N3135",463
"275","5kmE3900N3140",464
"276","5kmE3905N3080",223
"277","5kmE3905N3085",315
"278","5kmE3905N3090",350
"279","5kmE3905N3095",351
"280","5kmE3905N3100",410
"281","5kmE3905N3105",419
"282","5kmE3905N3110",383
"283","5kmE3905N3115",430
"284","5kmE3905N3120",387
"285","5kmE3905N3125",397
"286","5kmE3905N3130",375
"287","5kmE3905N3135",416
"288","5kmE3905N3140",497
"289","5kmE3910N3080",391
"290","5kmE3910N3085",358
"291","5kmE3910N3090",385
"292","5kmE3910N3095",369
"293","5kmE3910N3100",377
"294","5kmE3910N3105",378
"295","5kmE3910N3110",367
"296","5kmE3910N3115",408
"297","5kmE3910N3120",432
"298","5kmE3910N3125",421
"299","5kmE3910N3130",340
"300","5kmE3910N3135",348
"301","5kmE3910N3140",444
"302","5kmE3910N3145",423
"303","5kmE3915N3080",422
"304","5kmE3915N3085",427
"305","5kmE3915N3090",423
"306","5kmE3915N3095",423
"307","5kmE3915N3100",390
"308","5kmE3915N3105",341
"309","5kmE3915N3110",337
"310","5kmE3915N3115",384
"311","5kmE3915N3120",472
"312","5kmE3915N3125",485
"313","5kmE3915N3130",363
"314","5kmE3915N3135",369
"315","5kmE3915N3140",404
"316","5kmE3915N3145",400
"317","5kmE3915N3150",341
"318","5kmE3915N3155",343
"319","5kmE3920N3080",386
"320","5kmE3920N3085",455
"321","5kmE3920N3090",464
"322","5kmE3920N3095",431
"323","5kmE3920N3100",466
"324","5kmE3920N3105",428
"325","5kmE3920N3110",362
"326","5kmE3920N3115",385
"327","5kmE3920N3120",493
"328","5kmE3920N3125",479
"329","5kmE3920N3130",423
"330","5kmE3920N3135",414
"331","5kmE3920N3140",403
"332","5kmE3920N3145",404
"333","5kmE3920N3150",424
"334","5kmE3920N3155",458
"335","5kmE3925N3080",312
"336","5kmE3925N3085",406
"337","5kmE3925N3090",500
"338","5kmE3925N3095",461
"339","5kmE3925N3100",463
"340","5kmE3925N3105",409
"341","5kmE3925N3110",434
"342","5kmE3925N3115",429
"343","5kmE3925N3120",477
"344","5kmE3925N3125",452
"345","5kmE3925N3130",478
"346","5kmE3925N3135",513
"347","5kmE3925N3140",444
"348","5kmE3925N3145",457
"349","5kmE3925N3150",456
"350","5kmE3925N3155",453
"351","5kmE3930N3080",347
"352","5kmE3930N3085",410
"353","5kmE3930N3090",438
"354","5kmE3930N3095",425
"355","5kmE3930N3100",399
"356","5kmE3930N3105",418
"357","5kmE3930N3110",439
"358","5kmE3930N3115",464
"359","5kmE3930N3120",432
"360","5kmE3930N3125",449
"361","5kmE3930N3130",482
"362","5kmE3930N3135",508
"363","5kmE3930N3140",503
"364","5kmE3930N3145",454
"365","5kmE3930N3150",409
"366","5kmE3930N3155",399
"367","5kmE3930N3160",438
"368","5kmE3930N3165",399
"369","5kmE3935N3080",294
"370","5kmE3935N3085",391
"371","5kmE3935N3090",416
"372","5kmE3935N3095",394
"373","5kmE3935N3100",416
"374","5kmE3935N3105",419
"375","5kmE3935N3110",462
"376","5kmE3935N3115",446
"377","5kmE3935N3120",417
"378","5kmE3935N3125",425
"379","5kmE3935N3130",429
"380","5kmE3935N3135",458
"381","5kmE3935N3140",457
"382","5kmE3935N3145",442
"383","5kmE3935N3150",427
"384","5kmE3935N3155",448
"385","5kmE3935N3160",443
"386","5kmE3935N3165",450
"387","5kmE3940N3080",310
"388","5kmE3940N3085",439
"389","5kmE3940N3090",489
"390","5kmE3940N3095",454
"391","5kmE3940N3100",432
"392","5kmE3940N3105",443
"393","5kmE3940N3110",452
"394","5kmE3940N3115",354
"395","5kmE3940N3120",361
"396","5kmE3940N3125",481
"397","5kmE3940N3130",457
"398","5kmE3940N3135",477
"399","5kmE3940N3140",442
"400","5kmE3940N3145",426
"401","5kmE3940N3150",412
"402","5kmE3940N3155",386
"403","5kmE3940N3160",401
"404","5kmE3940N3165",425
"405","5kmE3945N3085",336
"406","5kmE3945N3090",471
"407","5kmE3945N3095",518
"408","5kmE3945N3100",488
"409","5kmE3945N3105",431
"410","5kmE3945N3110",403
"411","5kmE3945N3115",316
"412","5kmE3945N3120",323
"413","5kmE3945N3125",418
"414","5kmE3945N3130",471
"415","5kmE3945N3135",453
"416","5kmE3945N3140",392
"417","5kmE3945N3145",360
"418","5kmE3945N3150",423
"419","5kmE3945N3155",390
"420","5kmE3945N3160",378
"421","5kmE3950N3085",297
"422","5kmE3950N3090",435
"423","5kmE3950N3095",487
"424","5kmE3950N3100",498
"425","5kmE3950N3105",499
"426","5kmE3950N3110",412
"427","5kmE3950N3115",358
"428","5kmE3950N3120",392
"429","5kmE3950N3125",376
"430","5kmE3950N3130",452
"431","5kmE3950N3135",445
"432","5kmE3950N3140",411
"433","5kmE3950N3145",379
"434","5kmE3950N3150",344
"435","5kmE3950N3155",370
"436","5kmE3950N3160",396
"437","5kmE3950N3165",431
"438","5kmE3955N3085",404
"439","5kmE3955N3090",434
"440","5kmE3955N3095",451
"441","5kmE3955N3100",467
"442","5kmE3955N3105",499
"443","5kmE3955N3110",471
"444","5kmE3955N3115",419
"445","5kmE3955N3120",371
"446","5kmE3955N3125",348
"447","5kmE3955N3130",460
"448","5kmE3955N3135",455
"449","5kmE3955N3140",428
"450","5kmE3955N3145",389
"451","5kmE3955N3150",401
"452","5kmE3955N3155",416
"453","5kmE3955N3160",427
"454","5kmE3955N3165",501
"455","5kmE3960N3080",262
"456","5kmE3960N3085",419
"457","5kmE3960N3090",458
"458","5kmE3960N3095",410
"459","5kmE3960N3100",439
"460","5kmE3960N3105",465
"461","5kmE3960N3110",461
"462","5kmE3960N3115",437
"463","5kmE3960N3120",418
"464","5kmE3960N3125",377
"465","5kmE3960N3130",430
"466","5kmE3960N3135",395
"467","5kmE3960N3140",418
"468","5kmE3960N3145",409
"469","5kmE3960N3150",447
"470","5kmE3960N3155",449
"471","5kmE3960N3160",453
"472","5kmE3960N3165",493
"473","5kmE3965N3080",244
"474","5kmE3965N3085",418
"475","5kmE3965N3090",435
"476","5kmE3965N3095",389
"477","5kmE3965N3100",407
"478","5kmE3965N3105",438
"479","5kmE3965N3110",492
"480","5kmE3965N3115",432
"481","5kmE3965N3120",445
"482","5kmE3965N3125",381
"483","5kmE3965N3130",410
"484","5kmE3965N3135",388
"485","5kmE3965N3140",450
"486","5kmE3965N3145",473
"487","5kmE3965N3150",482
"488","5kmE3965N3155",474
"489","5kmE3965N3160",404
"490","5kmE3970N3075",253
"491","5kmE3970N3080",351
"492","5kmE3970N3085",369
"493","5kmE3970N3090",400
"494","5kmE3970N3095",382
"495","5kmE3970N3100",405
"496","5kmE3970N3105",480
"497","5kmE3970N3110",464
"498","5kmE3970N3115",412
"499","5kmE3970N3120",405
"500","5kmE3970N3125",405
"501","5kmE3970N3130",401
"502","5kmE3970N3135",390
"503","5kmE3970N3140",389
"504","5kmE3970N3145",437
"505","5kmE3970N3150",443
"506","5kmE3970N3155",382
"507","5kmE3970N3160",410
"508","5kmE3975N3075",326
"509","5kmE3975N3080",376
"510","5kmE3975N3085",373
"511","5kmE3975N3090",443
"512","5kmE3975N3095",426
"513","5kmE3975N3100",433
"514","5kmE3975N3105",491
"515","5kmE3975N3110",432
"516","5kmE3975N3115",387
"517","5kmE3975N3120",367
"518","5kmE3975N3125",404
"519","5kmE3975N3130",403
"520","5kmE3975N3135",385
"521","5kmE3975N3140",381
"522","5kmE3975N3145",397
"523","5kmE3975N3150",378
"524","5kmE3975N3155",370
"525","5kmE3975N3160",436
"526","5kmE3980N3075",285
"527","5kmE3980N3080",366
"528","5kmE3980N3085",403
"529","5kmE3980N3090",469
"530","5kmE3980N3095",411
"531","5kmE3980N3100",433
"532","5kmE3980N3105",465
"533","5kmE3980N3110",398
"534","5kmE3980N3115",404
"535","5kmE3980N3120",391
"536","5kmE3980N3125",413
"537","5kmE3980N3130",460
"538","5kmE3980N3135",443
"539","5kmE3980N3140",415
"540","5kmE3980N3145",397
"541","5kmE3980N3150",390
"542","5kmE3980N3155",400
"543","5kmE3980N3160",421
"544","5kmE3985N3075",315
"545","5kmE3985N3080",402
"546","5kmE3985N3085",387
"547","5kmE3985N3090",405
"548","5kmE3985N3095",413
"549","5kmE3985N3100",482
"550","5kmE3985N3105",483
"551","5kmE3985N3110",406
"552","5kmE3985N3115",440
"553","5kmE3985N3120",401
"554","5kmE3985N3125",395
"555","5kmE3985N3130",431
"556","5kmE3985N3135",437
"557","5kmE3985N3140",397
"558","5kmE3985N3145",369
"559","5kmE3990N3075",223
"560","5kmE3990N3080",362
"561","5kmE3990N3085",421
"562","5kmE3990N3090",417
"563","5kmE3990N3095",449
"564","5kmE3990N3100",498
"565","5kmE3990N3105",487
"566","5kmE3990N3110",471
"567","5kmE3990N3115",454
"568","5kmE3990N3120",388
"569","5kmE3990N3125",359
"570","5kmE3990N3130",360
"571","5kmE3990N3135",379
"572","5kmE3995N3075",282
"573","5kmE3995N3080",395
"574","5kmE3995N3085",438
"575","5kmE3995N3090",419
"576","5kmE3995N3095",492
"577","5kmE3995N3100",510
"578","5kmE3995N3105",490
"579","5kmE3995N3110",478
"580","5kmE3995N3115",405
"581","5kmE3995N3120",402
"582","5kmE3995N3125",356
"583","5kmE3995N3130",428
"584","5kmE3995N3135",465
"585","5kmE4000N3075",250
"586","5kmE4000N3080",417
"587","5kmE4000N3085",415
"588","5kmE4000N3090",405
"589","5kmE4000N3095",484
"590","5kmE4000N3100",503
"591","5kmE4000N3105",493
"592","5kmE4000N3110",424
"593","5kmE4000N3115",346
"594","5kmE4000N3120",357
"595","5kmE4000N3125",376
"596","5kmE4000N3130",444
"597","5kmE4000N3135",494
"598","5kmE4000N3140",425
"599","5kmE4005N3075",161
"600","5kmE4005N3080",395
"601","5kmE4005N3085",425
"602","5kmE4005N3090",438
"603","5kmE4005N3095",467
"604","5kmE4005N3100",475
"605","5kmE4005N3105",474
"606","5kmE4005N3110",411
"607","5kmE4005N3115",345
"608","5kmE4005N3120",393
"609","5kmE4005N3125",392
"610","5kmE4005N3130",430
"611","5kmE4005N3135",454
"612","5kmE4005N3140",437
"613","5kmE4010N3080",503
"614","5kmE4010N3085",529
"615","5kmE4010N3090",540
"616","5kmE4010N3095",515
"617","5kmE4010N3100",441
"618","5kmE4010N3105",396
"619","5kmE4010N3110",408
"620","5kmE4010N3115",365
"621","5kmE4010N3120",375
"622","5kmE4010N3125",443
"623","5kmE4010N3130",466
"624","5kmE4010N3135",418
"625","5kmE4015N3075",457
"626","5kmE4015N3080",546
"627","5kmE4015N3085",577
"628","5kmE4015N3090",571
"629","5kmE4015N3095",569
"630","5kmE4015N3100",540
"631","5kmE4015N3105",479
"632","5kmE4015N3110",428
"633","5kmE4015N3115",423
"634","5kmE4015N3120",406
"635","5kmE4015N3125",467
"636","5kmE4015N3130",470
"637","5kmE4020N3075",468
"638","5kmE4020N3080",548
"639","5kmE4020N3095",540
"640","5kmE4020N3100",525
"641","5kmE4020N3105",536
"642","5kmE4020N3110",523
"643","5kmE4020N3115",479
"644","5kmE4020N3120",450
"645","5kmE4020N3125",468
"646","5kmE4025N3070",310
"647","5kmE4025N3075",490
"648","5kmE4025N3080",542
"649","5kmE4025N3110",542
"650","5kmE4025N3115",532
"651","5kmE4025N3120",503
"652","5kmE4025N3125",477
"653","5kmE4030N3070",351
"654","5kmE4030N3075",503
"655","5kmE4030N3080",538
"656","5kmE4030N3120",545
