"","eeacellcode","pd"
"1","1kmE3799N3134",19089.8021975
"2","1kmE3799N3135",16460.3126545
"3","1kmE3800N3108",6343.5372345
"4","1kmE3800N3115",2190.3194015
"5","1kmE3800N3116",2318.8180705
"6","1kmE3800N3125",5533.641063
"7","1kmE3800N3126",5056.6476085
"8","1kmE3800N3127",3197.033951
"9","1kmE3800N3128",726.0565265
"10","1kmE3800N3129",4849.0020775
"11","1kmE3800N3130",4225.010635
"12","1kmE3800N3131",13394.2769025
"13","1kmE3800N3132",18211.65381
"14","1kmE3800N3133",23005.863191
"15","1kmE3800N3134",22219.1587145
"16","1kmE3800N3135",20605.673446
"17","1kmE3800N3136",14718.95072
"18","1kmE3801N3106",205.01639
"19","1kmE3801N3107",2561.1075905
"20","1kmE3801N3108",7914.65638
"21","1kmE3801N3109",6638.1663305
"22","1kmE3801N3110",4960.57096
"23","1kmE3801N3111",3764.2676015
"24","1kmE3801N3112",2862.037764
"25","1kmE3801N3113",2388.8897635
"26","1kmE3801N3114",3969.772552
"27","1kmE3801N3115",8852.66317
"28","1kmE3801N3116",9585.1167355
"29","1kmE3801N3117",7494.0171745
"30","1kmE3801N3124",8402.877709
"31","1kmE3801N3125",10172.0535855
"32","1kmE3801N3126",10362.069052
"33","1kmE3801N3127",7553.994904
"34","1kmE3801N3128",3387.6533555
"35","1kmE3801N3129",8977.469178
"36","1kmE3801N3130",6714.977952
"37","1kmE3801N3131",11945.845033
"38","1kmE3801N3132",18536.610862
"39","1kmE3801N3133",21267.0303055
"40","1kmE3801N3134",21771.17547
"41","1kmE3801N3135",23019.3656435
"42","1kmE3801N3136",17052.4948695
"43","1kmE3802N3104",3301.873187
"44","1kmE3802N3105",5514.120001
"45","1kmE3802N3106",3820.832879
"46","1kmE3802N3107",6987.998699
"47","1kmE3802N3108",6990.492583
"48","1kmE3802N3109",8135.491366
"49","1kmE3802N3110",7538.241089
"50","1kmE3802N3111",1897.2345785
"51","1kmE3802N3112",5467.0338085
"52","1kmE3802N3113",1938.6153805
"53","1kmE3802N3114",6891.948161
"54","1kmE3802N3115",10447.1410835
"55","1kmE3802N3116",9881.0165085
"56","1kmE3802N3117",6436.062819
"57","1kmE3802N3122",205.016391
"58","1kmE3802N3123",2488.8855105
"59","1kmE3802N3124",9414.5102335
"60","1kmE3802N3125",8328.420731
"61","1kmE3802N3126",10753.0942605
"62","1kmE3802N3127",8327.568202
"63","1kmE3802N3128",3932.0788755
"64","1kmE3802N3129",7024.7007815
"65","1kmE3802N3130",6097.1231665
"66","1kmE3802N3131",12700.541464
"67","1kmE3802N3132",20366.5100155
"68","1kmE3802N3133",19265.0922505
"69","1kmE3802N3134",20464.0394795
"70","1kmE3802N3135",21429.667388
"71","1kmE3802N3136",16596.9713745
"72","1kmE3802N3137",3447.764477
"73","1kmE3803N3103",668.836293
"74","1kmE3803N3104",1588.320732
"75","1kmE3803N3105",2828.007748
"76","1kmE3803N3106",4684.323696
"77","1kmE3803N3107",6410.053758
"78","1kmE3803N3108",457.2961155
"79","1kmE3803N3109",1488.741791
"80","1kmE3803N3110",743.094977
"81","1kmE3803N3111",868.7961015
"82","1kmE3803N3112",1629.588844
"83","1kmE3803N3113",2680.840108
