"","eeacellcode","pd"
"164","5kmE3860N3140",25489.1489475
"165","5kmE3860N3145",25431.42686
"166","5kmE3860N3150",26005.408119
"167","5kmE3860N3155",27793.219435
"168","5kmE3860N3160",24197.038491
"169","5kmE3865N3085",22328.672039
"170","5kmE3865N3090",25216.3782635
"171","5kmE3865N3095",27194.9952585
"172","5kmE3865N3100",25418.305134
"173","5kmE3865N3105",23053.501656
"174","5kmE3865N3110",25041.030254
"175","5kmE3865N3115",27957.8489445
"176","5kmE3865N3120",24270.3398515
"177","5kmE3865N3125",26323.5461755
"178","5kmE3865N3130",26041.0896635
"179","5kmE3865N3135",25271.623917
"180","5kmE3865N3140",25254.487426
"181","5kmE3865N3145",24118.168844
"182","5kmE3865N3150",25193.102353
"183","5kmE3870N3085",25060.923865
"184","5kmE3870N3090",25949.243124
"185","5kmE3870N3095",26206.158629
"186","5kmE3870N3100",28331.181696
"187","5kmE3870N3105",24611.653644
"188","5kmE3870N3110",26374.828438
"189","5kmE3870N3115",27533.377832
"190","5kmE3870N3120",27029.67425
"191","5kmE3870N3125",26453.7486335
"192","5kmE3870N3130",24287.588962
"193","5kmE3870N3135",25283.938579
"194","5kmE3870N3140",22861.3014005
"195","5kmE3870N3145",24602.459091
"196","5kmE3870N3150",22766.327181
"197","5kmE3875N3090",24587.476699
"198","5kmE3875N3095",24457.196887
"199","5kmE3875N3100",26083.117431
"200","5kmE3875N3105",27561.1313165
"201","5kmE3875N3110",27735.5212055
"202","5kmE3875N3115",29060.6010415
"203","5kmE3875N3120",31833.120407
"204","5kmE3875N3125",30459.525806
"205","5kmE3875N3130",23133.7291075
"206","5kmE3875N3135",24308.774154
"207","5kmE3875N3140",21080.1945835
"208","5kmE3875N3145",24948.6026575
"209","5kmE3875N3150",25302.08286
"210","5kmE3880N3085",16998.34439
"211","5kmE3880N3090",24703.803351
"212","5kmE3880N3095",24982.4879505
"213","5kmE3880N3100",24313.911076
"214","5kmE3880N3105",24431.2614615
"215","5kmE3880N3110",27801.6759655
"216","5kmE3880N3115",30576.8795645
"217","5kmE3880N3120",33438.8973485
"218","5kmE3880N3125",30702.779294
"219","5kmE3880N3130",24957.6540655
"220","5kmE3880N3135",25044.761662
"221","5kmE3880N3140",24289.5949625
"222","5kmE3880N3145",27532.3159235
"223","5kmE3885N3080",14522.987295
"224","5kmE3885N3085",22984.468832
"225","5kmE3885N3090",24579.157282
"226","5kmE3885N3095",24595.6378905
"227","5kmE3885N3100",25188.4601755
"228","5kmE3885N3105",23353.473308
