"","eeacellcode","sp_richness"
"1","5kmE3795N3130",500
"2","5kmE3795N3135",350
"3","5kmE3800N3100",327
"4","5kmE3800N3105",291
"5","5kmE3800N3110",301
"6","5kmE3800N3115",288
"7","5kmE3800N3120",282
"8","5kmE3800N3125",387
"9","5kmE3800N3130",539
"10","5kmE3800N3135",513
"11","5kmE3805N3095",368
"12","5kmE3805N3100",331
"13","5kmE3805N3105",342
"14","5kmE3805N3110",320
"15","5kmE3805N3115",287
"16","5kmE3805N3120",283
"17","5kmE3805N3125",344
"18","5kmE3805N3130",488
"19","5kmE3805N3135",558
"20","5kmE3805N3140",381
"21","5kmE3810N3090",333
"22","5kmE3810N3095",387
"23","5kmE3810N3100",359
"24","5kmE3810N3105",337
"25","5kmE3810N3110",279
"26","5kmE3810N3115",317
"27","5kmE3810N3120",317
"28","5kmE3810N3125",344
"29","5kmE3810N3130",374
"30","5kmE3810N3135",552
"31","5kmE3810N3140",473
"32","5kmE3815N3090",314
"33","5kmE3815N3095",338
"34","5kmE3815N3100",341
"35","5kmE3815N3105",337
"36","5kmE3815N3110",311
"37","5kmE3815N3115",305
"38","5kmE3815N3120",350
"39","5kmE3815N3125",303
"40","5kmE3815N3130",281
"41","5kmE3815N3135",419
"42","5kmE3815N3140",439
"43","5kmE3815N3145",111
"44","5kmE3820N3095",287
"45","5kmE3820N3100",435
"46","5kmE3820N3105",404
"47","5kmE3820N3110",261
"48","5kmE3820N3115",304
"49","5kmE3820N3120",364
"50","5kmE3820N3125",348
"51","5kmE3820N3130",288
"52","5kmE3820N3135",263
"53","5kmE3820N3140",368
"54","5kmE3820N3145",403
"55","5kmE3825N3095",287
"56","5kmE3825N3100",355
"57","5kmE3825N3105",373
"58","5kmE3825N3110",244
"59","5kmE3825N3115",413
"60","5kmE3825N3120",329
"61","5kmE3825N3125",318
"62","5kmE3825N3130",299
"63","5kmE3825N3135",305
"64","5kmE3825N3140",365
"65","5kmE3825N3145",457
"66","5kmE3825N3150",295
"67","5kmE3830N3095",342
"68","5kmE3830N3100",290
"69","5kmE3830N3105",264
"70","5kmE3830N3110",280
"71","5kmE3830N3115",342
"72","5kmE3830N3120",319
"73","5kmE3830N3125",369
"74","5kmE3830N3130",332
"75","5kmE3830N3135",346
"76","5kmE3830N3140",391
"77","5kmE3830N3145",469
"78","5kmE3830N3150",456
"79","5kmE3835N3090",297
"80","5kmE3835N3095",340
"81","5kmE3835N3100",294
"82","5kmE3835N3105",272
"83","5kmE3835N3110",381
"84","5kmE3835N3115",375
"85","5kmE3835N3120",313
"86","5kmE3835N3125",363
"87","5kmE3835N3130",393
"88","5kmE3835N3135",421
"89","5kmE3835N3140",420
"90","5kmE3835N3145",362
"91","5kmE3835N3150",449
"92","5kmE3835N3155",248
"93","5kmE3840N3090",315
"94","5kmE3840N3095",384
"95","5kmE3840N3100",371
"96","5kmE3840N3105",286
"97","5kmE3840N3110",384
"98","5kmE3840N3115",343
"99","5kmE3840N3120",311
"100","5kmE3840N3125",320
"101","5kmE3840N3130",355
"102","5kmE3840N3135",448
"103","5kmE3840N3140",473
"104","5kmE3840N3145",380
"105","5kmE3840N3150",377
"106","5kmE3840N3155",397
"107","5kmE3845N3090",318
"108","5kmE3845N3095",419
"109","5kmE3845N3100",433
"110","5kmE3845N3105",293
"111","5kmE3845N3110",378
"112","5kmE3845N3115",369
"113","5kmE3845N3120",311
"114","5kmE3845N3125",336
"115","5kmE3845N3130",411
"116","5kmE3845N3135",497
"117","5kmE3845N3140",519
"118","5kmE3845N3145",484
"119","5kmE3845N3150",441
"120","5kmE3845N3155",444
"121","5kmE3845N3160",161
"122","5kmE3850N3085",255
"123","5kmE3850N3090",381
"124","5kmE3850N3095",434
"125","5kmE3850N3100",455
"126","5kmE3850N3105",377
"127","5kmE3850N3110",307
"128","5kmE3850N3115",336
"129","5kmE3850N3120",305
"130","5kmE3850N3125",393
"131","5kmE3850N3130",444
"132","5kmE3850N3135",465
"133","5kmE3850N3140",485
"134","5kmE3850N3145",473
"135","5kmE3850N3150",392
"136","5kmE3850N3155",469
"137","5kmE3850N3160",309
"138","5kmE3855N3085",160
"139","5kmE3855N3090",408
"140","5kmE3855N3095",386
"141","5kmE3855N3100",353
"142","5kmE3855N3105",407
"143","5kmE3855N3110",335
"144","5kmE3855N3115",300
"145","5kmE3855N3120",273
"146","5kmE3855N3125",430
"147","5kmE3855N3130",446
"148","5kmE3855N3135",400
"149","5kmE3855N3140",398
"150","5kmE3855N3145",435
"151","5kmE3855N3150",428
"152","5kmE3855N3155",524
"153","5kmE3855N3160",436
"154","5kmE3860N3090",429
"155","5kmE3860N3095",405
"156","5kmE3860N3100",374
"157","5kmE3860N3105",403
"158","5kmE3860N3110",383
"159","5kmE3860N3115",376
"160","5kmE3860N3120",321
"161","5kmE3860N3125",407
"162","5kmE3860N3130",417
"163","5kmE3860N3135",408
"164","5kmE3860N3140",401
"165","5kmE3860N3145",405
"166","5kmE3860N3150",416
"167","5kmE3860N3155",458
"168","5kmE3860N3160",389
"169","5kmE3865N3085",343
"170","5kmE3865N3090",393
"171","5kmE3865N3095",444
"172","5kmE3865N3100",397
"173","5kmE3865N3105",356
"174","5kmE3865N3110",392
"175","5kmE3865N3115",455
"176","5kmE3865N3120",375
"177","5kmE3865N3125",423
"178","5kmE3865N3130",424
"179","5kmE3865N3135",412
"180","5kmE3865N3140",407
"181","5kmE3865N3145",378
"182","5kmE3865N3150",391
"183","5kmE3870N3085",382
"184","5kmE3870N3090",406
"185","5kmE3870N3095",436
"186","5kmE3870N3100",472
"187","5kmE3870N3105",383
"188","5kmE3870N3110",419
"189","5kmE3870N3115",451
"190","5kmE3870N3120",443
"191","5kmE3870N3125",428
"192","5kmE3870N3130",380
"193","5kmE3870N3135",417
"194","5kmE3870N3140",362
"195","5kmE3870N3145",392
"196","5kmE3870N3150",360
"197","5kmE3875N3090",379
"198","5kmE3875N3095",382
"199","5kmE3875N3100",412
"200","5kmE3875N3105",444
"201","5kmE3875N3110",449
"202","5kmE3875N3115",485
"203","5kmE3875N3120",551
"204","5kmE3875N3125",513
"205","5kmE3875N3130",346
"206","5kmE3875N3135",378
"207","5kmE3875N3140",324
"208","5kmE3875N3145",399
"209","5kmE3875N3150",393
"210","5kmE3880N3085",231
"211","5kmE3880N3090",403
"212","5kmE3880N3095",398
"213","5kmE3880N3100",385
"214","5kmE3880N3105",384
"215","5kmE3880N3110",448
"216","5kmE3880N3115",518
"217","5kmE3880N3120",577
"218","5kmE3880N3125",548
"219","5kmE3880N3130",398
"220","5kmE3880N3135",382
"221","5kmE3880N3140",380
"222","5kmE3880N3145",454
"223","5kmE3885N3080",184
"224","5kmE3885N3085",352
"225","5kmE3885N3090",381
"226","5kmE3885N3095",381
"227","5kmE3885N3100",396
"228","5kmE3885N3105",376
"229","5kmE3885N3110",406
"230","5kmE3885N3115",465
