"","eeacellcode","pd"
"1","1kmE3799N3134",17699.333822
"2","1kmE3799N3135",15353.507304
"3","1kmE3800N3108",6343.5372345
"4","1kmE3800N3115",2190.3194015
"5","1kmE3800N3116",2318.8180705
"6","1kmE3800N3125",5533.641063
"7","1kmE3800N3126",5056.6476085
"8","1kmE3800N3127",3197.033951
"9","1kmE3800N3128",726.0565265
"10","1kmE3800N3129",4849.0020775
"11","1kmE3800N3130",4064.7698255
"12","1kmE3800N3131",13055.3904075
"13","1kmE3800N3132",17612.017039
"14","1kmE3800N3133",21878.617746
"15","1kmE3800N3134",20781.3389195
"16","1kmE3800N3135",19379.8311415
"17","1kmE3800N3136",13642.020587
"18","1kmE3801N3106",205.01639
"19","1kmE3801N3107",2561.1075905
"20","1kmE3801N3108",7914.65638
"21","1kmE3801N3109",6601.8510595
"22","1kmE3801N3110",4907.048291
"23","1kmE3801N3111",3764.2676015
"24","1kmE3801N3112",2862.037764
"25","1kmE3801N3113",2388.8897635
"26","1kmE3801N3114",3969.772552
"27","1kmE3801N3115",8805.1961385
"28","1kmE3801N3116",9585.1167355
"29","1kmE3801N3117",7481.675622
"30","1kmE3801N3124",8402.877709
"31","1kmE3801N3125",10172.0535855
"32","1kmE3801N3126",10362.069052
"33","1kmE3801N3127",7553.994904
"34","1kmE3801N3128",3322.132231
"35","1kmE3801N3129",8803.3637995
"36","1kmE3801N3130",6714.977952
"37","1kmE3801N3131",11508.066014
"38","1kmE3801N3132",17747.6258115
"39","1kmE3801N3133",20190.695592
"40","1kmE3801N3134",20401.200013
"41","1kmE3801N3135",21488.160916
"42","1kmE3801N3136",15829.184361
"43","1kmE3802N3104",3254.4061555
"44","1kmE3802N3105",5514.120001
"45","1kmE3802N3106",3767.31021
"46","1kmE3802N3107",6987.998699
"47","1kmE3802N3108",6990.492583
"48","1kmE3802N3109",8081.968697
"49","1kmE3802N3110",7504.273299
"50","1kmE3802N3111",1897.2345785
"51","1kmE3802N3112",5467.0338085
"52","1kmE3802N3113",1938.6153805
"53","1kmE3802N3114",6891.948161
"54","1kmE3802N3115",10447.1410835
"55","1kmE3802N3116",9881.0165085
"56","1kmE3802N3117",6436.062819
"57","1kmE3802N3122",205.016391
"58","1kmE3802N3123",2488.8855105
"59","1kmE3802N3124",9414.5102335
"60","1kmE3802N3125",8328.420731
"61","1kmE3802N3126",10753.0942605
"62","1kmE3802N3127",8110.480767
"63","1kmE3802N3128",3932.0788755
"64","1kmE3802N3129",7024.7007815
"65","1kmE3802N3130",5920.273343
"66","1kmE3802N3131",12009.0679245
"67","1kmE3802N3132",19507.70252
"68","1kmE3802N3133",18324.3333645
"69","1kmE3802N3134",19564.634865
"70","1kmE3802N3135",20210.3256765
"71","1kmE3802N3136",15701.202644
"72","1kmE3802N3137",2802.080823
"73","1kmE3803N3103",668.836293
"74","1kmE3803N3104",1588.320732
"75","1kmE3803N3105",2828.007748
"76","1kmE3803N3106",4684.323696
"77","1kmE3803N3107",6410.053758
"78","1kmE3803N3108",279.8060205
"79","1kmE3803N3109",1423.2206665
"80","1kmE3803N3110",743.094977
"81","1kmE3803N3111",868.7961015
"82","1kmE3803N3112",1629.588844
"83","1kmE3803N3113",2680.840108
"84","1kmE3803N3114",3474.497318
"85","1kmE3803N3115",8011.434804
"86","1kmE3803N3116",11968.6865575
"87","1kmE3803N3117",3668.6513625
"88","1kmE3803N3118",6193.612518
"89","1kmE3803N3119",926.676548
"90","1kmE3803N3120",1987.6084755
"91","1kmE3803N3121",3791.1441475
"92","1kmE3803N3122",3751.0201835
"93","1kmE3803N3123",8271.682379
"94","1kmE3803N3124",8653.874299
"95","1kmE3803N3125",10455.95989
"96","1kmE3803N3126",12214.6560495
"97","1kmE3803N3127",9973.643546
"98","1kmE3803N3128",5744.958499
"99","1kmE3803N3129",7135.0148615
"100","1kmE3803N3130",6117.860996
"101","1kmE3803N3131",9998.879632
"102","1kmE3803N3132",16101.8802395
"103","1kmE3803N3133",15562.758435
"104","1kmE3803N3134",20252.7731515
"105","1kmE3803N3135",19997.6142835
"106","1kmE3803N3136",19003.262178
"107","1kmE3803N3137",7469.6158245
"108","1kmE3804N3103",5618.9478445
"109","1kmE3804N3104",8495.657343
"110","1kmE3804N3105",9858.5096265
"111","1kmE3804N3106",11219.911666
"112","1kmE3804N3107",6530.7462305
"113","1kmE3804N3108",6636.7599185
"114","1kmE3804N3109",6266.9906235
"115","1kmE3804N3110",5588.068033
"116","1kmE3804N3111",2813.933483
"117","1kmE3804N3112",5323.397683
"118","1kmE3804N3113",7069.763556
"119","1kmE3804N3114",6597.4239365
"120","1kmE3804N3115",1955.266025
"121","1kmE3804N3116",9301.552103
"122","1kmE3804N3117",11879.3165965
"123","1kmE3804N3118",6149.8736865
"124","1kmE3804N3119",7491.4660705
"125","1kmE3804N3120",5447.907645
"126","1kmE3804N3121",4917.505434
"127","1kmE3804N3122",6239.9704125
"128","1kmE3804N3123",10205.85538
